pdb_id,affinity_type,value,unit,link,experimental_pkd,comp_id,ref_seq_identity,source
5NI5,IC50,7.900000095367432,nM,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=5NI5,8.102,,,
5NI5,IC50,22.0,nM,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=5NI5,7.658,,,
5NI5,IC50,20.0,nM,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=5NI5,7.699,,,
5NI5,IC50,80.0,nM,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=5NI5,7.097,,,
7XVY,Ki,1.8200000524520872,nM,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=7XVY,8.74,,,
7KCO,Ki,4.199999809265137,nM,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=7KCO,8.377,,,
8FE2,IC50,84.0,nM,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=8FE2,7.076,,,
8FE2,IC50,970.0,nM,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=8FE2,6.013,,,
8FHE,IC50,3.299999952316284,nM,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=8FHE,8.481,,,
8PP0,Kd,95.0,nM,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=8PP0,7.022,,,
8R0Y,IC50,74.0,nM,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=8R0Y,7.131,,,
1C5W,Ki,1700.0,nM,,5.77,ESI,99.0,rcsb_bulk
1C5W,Ki,250.0,nM,,6.602,ESI,99.0,rcsb_bulk
1C5W,Ki,210.0,nM,,6.678,ESI,99.0,rcsb_bulk
1C5X,Ki,210.0,nM,,6.678,ESI,99.0,rcsb_bulk
1C5X,Ki,1700.0,nM,,5.77,ESI,99.0,rcsb_bulk
1C5X,Ki,250.0,nM,,6.602,ESI,99.0,rcsb_bulk
1C5Y,Ki,63000.0,nM,,4.201,ESP,99.0,rcsb_bulk
1CVU,Kd,8070.0,nM,,5.093,ACD,87.0,rcsb_bulk
1GJA,Ki,3800.0,nM,,5.42,135,99.0,rcsb_bulk
1GJA,Ki,2700.0,nM,,5.569,135,99.0,rcsb_bulk
1GJD,Ki,6000.0,nM,,5.222,136,99.0,rcsb_bulk
1LCK,Kd,400000.0,nM,,3.398,PTR,100.0,rcsb_bulk
1NOP,IC50,4000.0,nM,,5.398,VO4,98.0,rcsb_bulk
1NVR,IC50,2.0,nM,,8.699,STU,100.0,rcsb_bulk
1NVR,IC50,1.0,nM,,9.0,STU,100.0,rcsb_bulk
1NVS,IC50,15.0,nM,,7.824,UCM,100.0,rcsb_bulk
1O5B,Ki,210.0,nM,,6.678,ESI,98.0,rcsb_bulk
1O5B,Ki,250.0,nM,,6.602,ESI,98.0,rcsb_bulk
1O5B,Ki,1700.0,nM,,5.77,ESI,100.0,rcsb_bulk
1Q8W,IC50,1350.0,nM,,5.87,M77,99.0,rcsb_bulk
1Q8W,IC50,1127.0,nM,,5.948,M77,98.0,rcsb_bulk
1Q8W,IC50,541.0,nM,,6.267,M77,99.0,rcsb_bulk
1Q8W,IC50,7605.0,nM,,5.119,M77,99.0,rcsb_bulk
1Q8W,IC50,1947.0,nM,,5.711,M77,99.0,rcsb_bulk
1Q8W,IC50,2452.0,nM,,5.61,M77,99.0,rcsb_bulk
1Q8W,Ki,1600.0,nM,,5.796,M77,92.0,rcsb_bulk
1Q8W,IC50,607.0,nM,,6.217,M77,99.0,rcsb_bulk
1Q8W,Ki,460.0,nM,,6.337,M77,97.0,rcsb_bulk
1Q8W,IC50,870.0,nM,,6.06,M77,99.0,rcsb_bulk
1Q8W,IC50,893.0,nM,,6.049,M77,99.0,rcsb_bulk
1Q8W,IC50,2280.0,nM,,5.642,M77,98.0,rcsb_bulk
1Q8W,IC50,1494.0,nM,,5.826,M77,100.0,rcsb_bulk
1Q8W,IC50,853.0,nM,,6.069,M77,99.0,rcsb_bulk
1T5Z,EC50,0.05000000074505806,nM,,10.301,DHT,100.0,rcsb_bulk
1T5Z,EC50,6.199999809265137,nM,,8.208,DHT,100.0,rcsb_bulk
1T5Z,EC50,6.0,nM,,8.222,DHT,100.0,rcsb_bulk
1T5Z,IC50,4.0,nM,,8.398,DHT,100.0,rcsb_bulk
1T5Z,EC50,5.0,nM,,8.301,DHT,100.0,rcsb_bulk
1T5Z,Ki,0.27000001072883606,nM,,9.569,DHT,100.0,rcsb_bulk
1T5Z,Ki,4.699999809265137,nM,,8.328,DHT,100.0,rcsb_bulk
1T5Z,EC50,2.0,nM,,8.699,DHT,100.0,rcsb_bulk
1T5Z,Ki,0.30000001192092896,nM,,9.523,DHT,100.0,rcsb_bulk
1T5Z,EC50,0.14000000059604645,nM,,9.854,DHT,100.0,rcsb_bulk
1T5Z,Ki,3.0,nM,,8.523,DHT,100.0,rcsb_bulk
1T5Z,Ki,0.2800000011920929,nM,,9.553,DHT,100.0,rcsb_bulk
1T5Z,EC50,3.0,nM,,8.523,DHT,100.0,rcsb_bulk
1T5Z,IC50,0.6700000166893005,nM,,9.174,DHT,100.0,rcsb_bulk
1T5Z,IC50,2.0,nM,,8.699,DHT,100.0,rcsb_bulk
1T5Z,EC50,0.18000000715255737,nM,,9.745,DHT,100.0,rcsb_bulk
1T5Z,IC50,0.05000000074505806,nM,,10.301,DHT,100.0,rcsb_bulk
1T5Z,EC50,1.0,nM,,9.0,DHT,100.0,rcsb_bulk
1T5Z,EC50,5.099999904632568,nM,,8.292,DHT,100.0,rcsb_bulk
1T5Z,EC50,0.9700000286102295,nM,,9.013,DHT,100.0,rcsb_bulk
1T5Z,IC50,2.0999999046325684,nM,,8.678,DHT,100.0,rcsb_bulk
1T5Z,Ki,0.4300000071525574,nM,,9.367,DHT,100.0,rcsb_bulk
1T5Z,IC50,18.0,nM,,7.745,DHT,100.0,rcsb_bulk
1T5Z,IC50,18.5,nM,,7.733,DHT,100.0,rcsb_bulk
1T5Z,IC50,1.0,nM,,9.0,DHT,100.0,rcsb_bulk
1T5Z,Ki,0.20000000298023224,nM,,9.699,DHT,100.0,rcsb_bulk
1T5Z,EC50,20.0,nM,,7.699,DHT,100.0,rcsb_bulk
1T5Z,IC50,1.8200000524520874,nM,,8.74,DHT,100.0,rcsb_bulk
1T5Z,IC50,3.0999999046325684,nM,,8.509,DHT,100.0,rcsb_bulk
1T5Z,Ki,0.6899999976158142,nM,,9.161,DHT,100.0,rcsb_bulk
1T5Z,Ki,2.0,nM,,8.699,DHT,100.0,rcsb_bulk
1T5Z,IC50,10.0,nM,,8.0,DHT,100.0,rcsb_bulk
1T5Z,IC50,13.0,nM,,7.886,DHT,100.0,rcsb_bulk
1T5Z,EC50,0.10000000149011612,nM,,10.0,DHT,100.0,rcsb_bulk
1T5Z,Ki,10.0,nM,,8.0,DHT,100.0,rcsb_bulk
1T5Z,EC50,2.799999952316284,nM,,8.553,DHT,100.0,rcsb_bulk
1T5Z,Ki,0.8999999761581421,nM,,9.046,DHT,100.0,rcsb_bulk
1T5Z,IC50,2.200000047683716,nM,,8.658,DHT,100.0,rcsb_bulk
1T5Z,EC50,3.9800000190734863,nM,,8.4,DHT,100.0,rcsb_bulk
1T5Z,Kd,0.25,nM,,9.602,DHT,100.0,rcsb_bulk
1T5Z,Ki,0.28183799982070923,nM,,9.55,DHT,100.0,rcsb_bulk
1T5Z,EC50,5.699999809265137,nM,,8.244,DHT,100.0,rcsb_bulk
1T5Z,IC50,10.0,nM,,8.0,DHT,100.0,rcsb_bulk
1T79,IC50,0.05000000074505806,nM,,10.301,DHT,100.0,rcsb_bulk
1T79,EC50,3.9800000190734863,nM,,8.4,DHT,100.0,rcsb_bulk
1T79,IC50,4.0,nM,,8.398,DHT,100.0,rcsb_bulk
1T79,Ki,0.2800000011920929,nM,,9.553,DHT,100.0,rcsb_bulk
1T79,Ki,3.0,nM,,8.523,DHT,100.0,rcsb_bulk
1T79,EC50,3.0,nM,,8.523,DHT,100.0,rcsb_bulk
1T79,EC50,0.14000000059604645,nM,,9.854,DHT,100.0,rcsb_bulk
1T79,EC50,0.18000000715255737,nM,,9.745,DHT,100.0,rcsb_bulk
1T79,EC50,6.199999809265137,nM,,8.208,DHT,100.0,rcsb_bulk
1T79,EC50,0.05000000074505806,nM,,10.301,DHT,100.0,rcsb_bulk
1T79,EC50,5.699999809265137,nM,,8.244,DHT,100.0,rcsb_bulk
1T79,EC50,2.0,nM,,8.699,DHT,100.0,rcsb_bulk
1T79,IC50,2.0,nM,,8.699,DHT,100.0,rcsb_bulk
1T79,EC50,0.9700000286102295,nM,,9.013,DHT,100.0,rcsb_bulk
1T79,EC50,20.0,nM,,7.699,DHT,100.0,rcsb_bulk
1T79,Ki,0.30000001192092896,nM,,9.523,DHT,100.0,rcsb_bulk
1T79,Ki,0.4300000071525574,nM,,9.367,DHT,100.0,rcsb_bulk
1T79,Ki,0.8999999761581421,nM,,9.046,DHT,100.0,rcsb_bulk
1T79,Ki,0.27000001072883606,nM,,9.569,DHT,100.0,rcsb_bulk
1T79,IC50,10.0,nM,,8.0,DHT,100.0,rcsb_bulk
1T79,EC50,2.799999952316284,nM,,8.553,DHT,100.0,rcsb_bulk
1T79,IC50,1.8200000524520874,nM,,8.74,DHT,100.0,rcsb_bulk
1T79,IC50,18.5,nM,,7.733,DHT,100.0,rcsb_bulk
1T79,Ki,2.0,nM,,8.699,DHT,100.0,rcsb_bulk
1T79,EC50,1.0,nM,,9.0,DHT,100.0,rcsb_bulk
1T79,Kd,0.25,nM,,9.602,DHT,100.0,rcsb_bulk
1T79,IC50,18.0,nM,,7.745,DHT,100.0,rcsb_bulk
1T79,IC50,1.0,nM,,9.0,DHT,100.0,rcsb_bulk
1T79,IC50,2.0999999046325684,nM,,8.678,DHT,100.0,rcsb_bulk
1T79,IC50,13.0,nM,,7.886,DHT,100.0,rcsb_bulk
1T79,EC50,5.099999904632568,nM,,8.292,DHT,100.0,rcsb_bulk
1T79,Ki,0.28183799982070923,nM,,9.55,DHT,100.0,rcsb_bulk
1T79,IC50,10.0,nM,,8.0,DHT,100.0,rcsb_bulk
1T79,IC50,0.6700000166893005,nM,,9.174,DHT,100.0,rcsb_bulk
1T79,EC50,5.0,nM,,8.301,DHT,100.0,rcsb_bulk
1T79,EC50,6.0,nM,,8.222,DHT,100.0,rcsb_bulk
1T79,IC50,2.200000047683716,nM,,8.658,DHT,100.0,rcsb_bulk
1T79,Ki,0.20000000298023224,nM,,9.699,DHT,100.0,rcsb_bulk
1T79,Ki,10.0,nM,,8.0,DHT,100.0,rcsb_bulk
1T79,Ki,4.699999809265137,nM,,8.328,DHT,100.0,rcsb_bulk
1T79,IC50,3.0999999046325684,nM,,8.509,DHT,100.0,rcsb_bulk
1T79,EC50,0.10000000149011612,nM,,10.0,DHT,100.0,rcsb_bulk
1T79,Ki,0.6899999976158142,nM,,9.161,DHT,100.0,rcsb_bulk
1T7F,EC50,0.05000000074505806,nM,,10.301,DHT,100.0,rcsb_bulk
1T7F,EC50,5.0,nM,,8.301,DHT,100.0,rcsb_bulk
1T7F,IC50,10.0,nM,,8.0,DHT,100.0,rcsb_bulk
1T7F,EC50,0.18000000715255737,nM,,9.745,DHT,100.0,rcsb_bulk
1T7F,EC50,5.699999809265137,nM,,8.244,DHT,100.0,rcsb_bulk
1T7F,Ki,0.8999999761581421,nM,,9.046,DHT,100.0,rcsb_bulk
1T7F,EC50,6.199999809265137,nM,,8.208,DHT,100.0,rcsb_bulk
1T7F,IC50,13.0,nM,,7.886,DHT,100.0,rcsb_bulk
1T7F,EC50,3.0,nM,,8.523,DHT,100.0,rcsb_bulk
1T7F,Ki,0.2800000011920929,nM,,9.553,DHT,100.0,rcsb_bulk
1T7F,IC50,4.0,nM,,8.398,DHT,100.0,rcsb_bulk
1T7F,EC50,0.10000000149011612,nM,,10.0,DHT,100.0,rcsb_bulk
1T7F,Ki,0.6899999976158142,nM,,9.161,DHT,100.0,rcsb_bulk
1T7F,Ki,4.699999809265137,nM,,8.328,DHT,100.0,rcsb_bulk
1T7F,Ki,0.20000000298023224,nM,,9.699,DHT,100.0,rcsb_bulk
1T7F,Ki,10.0,nM,,8.0,DHT,100.0,rcsb_bulk
1T7F,EC50,3.9800000190734863,nM,,8.4,DHT,100.0,rcsb_bulk
1T7F,EC50,6.0,nM,,8.222,DHT,100.0,rcsb_bulk
1T7F,IC50,2.200000047683716,nM,,8.658,DHT,100.0,rcsb_bulk
1T7F,EC50,0.9700000286102295,nM,,9.013,DHT,100.0,rcsb_bulk
1T7F,IC50,3.0999999046325684,nM,,8.509,DHT,100.0,rcsb_bulk
1T7F,IC50,2.0,nM,,8.699,DHT,100.0,rcsb_bulk
1T7F,EC50,20.0,nM,,7.699,DHT,100.0,rcsb_bulk
1T7F,EC50,1.0,nM,,9.0,DHT,100.0,rcsb_bulk
1T7F,Ki,0.28183799982070923,nM,,9.55,DHT,100.0,rcsb_bulk
1T7F,IC50,2.0999999046325684,nM,,8.678,DHT,100.0,rcsb_bulk
1T7F,Ki,0.4300000071525574,nM,,9.367,DHT,100.0,rcsb_bulk
1T7F,IC50,0.6700000166893005,nM,,9.174,DHT,100.0,rcsb_bulk
1T7F,Kd,0.25,nM,,9.602,DHT,100.0,rcsb_bulk
1T7F,EC50,0.14000000059604645,nM,,9.854,DHT,100.0,rcsb_bulk
1T7F,Ki,3.0,nM,,8.523,DHT,100.0,rcsb_bulk
1T7F,IC50,1.0,nM,,9.0,DHT,100.0,rcsb_bulk
1T7F,EC50,2.799999952316284,nM,,8.553,DHT,100.0,rcsb_bulk
1T7F,IC50,10.0,nM,,8.0,DHT,100.0,rcsb_bulk
1T7F,IC50,18.0,nM,,7.745,DHT,100.0,rcsb_bulk
1T7F,IC50,18.5,nM,,7.733,DHT,100.0,rcsb_bulk
1T7F,EC50,2.0,nM,,8.699,DHT,100.0,rcsb_bulk
1T7F,Ki,0.27000001072883606,nM,,9.569,DHT,100.0,rcsb_bulk
1T7F,IC50,0.05000000074505806,nM,,10.301,DHT,100.0,rcsb_bulk
1T7F,Ki,0.30000001192092896,nM,,9.523,DHT,100.0,rcsb_bulk
1T7F,Ki,2.0,nM,,8.699,DHT,100.0,rcsb_bulk
1T7F,IC50,1.8200000524520874,nM,,8.74,DHT,100.0,rcsb_bulk
1T7F,EC50,5.099999904632568,nM,,8.292,DHT,100.0,rcsb_bulk
1T7M,IC50,2.0999999046325684,nM,,8.678,DHT,100.0,rcsb_bulk
1T7M,Ki,0.6899999976158142,nM,,9.161,DHT,100.0,rcsb_bulk
1T7M,IC50,18.0,nM,,7.745,DHT,100.0,rcsb_bulk
1T7M,IC50,18.5,nM,,7.733,DHT,100.0,rcsb_bulk
1T7M,Kd,0.25,nM,,9.602,DHT,100.0,rcsb_bulk
1T7M,Ki,0.28183799982070923,nM,,9.55,DHT,100.0,rcsb_bulk
1T7M,Ki,0.20000000298023224,nM,,9.699,DHT,100.0,rcsb_bulk
1T7M,EC50,0.10000000149011612,nM,,10.0,DHT,100.0,rcsb_bulk
1T7M,EC50,1.0,nM,,9.0,DHT,100.0,rcsb_bulk
1T7M,EC50,2.799999952316284,nM,,8.553,DHT,100.0,rcsb_bulk
1T7M,IC50,3.0999999046325684,nM,,8.509,DHT,100.0,rcsb_bulk
1T7M,Ki,0.27000001072883606,nM,,9.569,DHT,100.0,rcsb_bulk
1T7M,IC50,13.0,nM,,7.886,DHT,100.0,rcsb_bulk
1T7M,IC50,1.0,nM,,9.0,DHT,100.0,rcsb_bulk
1T7M,Ki,0.8999999761581421,nM,,9.046,DHT,100.0,rcsb_bulk
1T7M,EC50,0.9700000286102295,nM,,9.013,DHT,100.0,rcsb_bulk
1T7M,IC50,10.0,nM,,8.0,DHT,100.0,rcsb_bulk
1T7M,IC50,0.6700000166893005,nM,,9.174,DHT,100.0,rcsb_bulk
1T7M,IC50,1.8200000524520874,nM,,8.74,DHT,100.0,rcsb_bulk
1T7M,Ki,2.0,nM,,8.699,DHT,100.0,rcsb_bulk
1T7M,Ki,0.30000001192092896,nM,,9.523,DHT,100.0,rcsb_bulk
1T7M,EC50,20.0,nM,,7.699,DHT,100.0,rcsb_bulk
1T7M,EC50,0.05000000074505806,nM,,10.301,DHT,100.0,rcsb_bulk
1T7M,EC50,2.0,nM,,8.699,DHT,100.0,rcsb_bulk
1T7M,Ki,3.0,nM,,8.523,DHT,100.0,rcsb_bulk
1T7M,IC50,2.0,nM,,8.699,DHT,100.0,rcsb_bulk
1T7M,EC50,5.099999904632568,nM,,8.292,DHT,100.0,rcsb_bulk
1T7M,EC50,3.0,nM,,8.523,DHT,100.0,rcsb_bulk
1T7M,Ki,0.2800000011920929,nM,,9.553,DHT,100.0,rcsb_bulk
1T7M,IC50,0.05000000074505806,nM,,10.301,DHT,100.0,rcsb_bulk
1T7M,EC50,6.199999809265137,nM,,8.208,DHT,100.0,rcsb_bulk
1T7M,EC50,0.18000000715255737,nM,,9.745,DHT,100.0,rcsb_bulk
1T7M,EC50,5.699999809265137,nM,,8.244,DHT,100.0,rcsb_bulk
1T7M,Ki,4.699999809265137,nM,,8.328,DHT,100.0,rcsb_bulk
1T7M,EC50,0.14000000059604645,nM,,9.854,DHT,100.0,rcsb_bulk
1T7M,IC50,4.0,nM,,8.398,DHT,100.0,rcsb_bulk
1T7M,Ki,0.4300000071525574,nM,,9.367,DHT,100.0,rcsb_bulk
1T7M,IC50,10.0,nM,,8.0,DHT,100.0,rcsb_bulk
1T7M,EC50,6.0,nM,,8.222,DHT,100.0,rcsb_bulk
1T7M,EC50,5.0,nM,,8.301,DHT,100.0,rcsb_bulk
1T7M,Ki,10.0,nM,,8.0,DHT,100.0,rcsb_bulk
1T7M,IC50,2.200000047683716,nM,,8.658,DHT,100.0,rcsb_bulk
1T7M,EC50,3.9800000190734863,nM,,8.4,DHT,100.0,rcsb_bulk
1T76,Ki,0.28183799982070923,nM,,9.55,DHT,100.0,rcsb_bulk
1T76,IC50,2.0999999046325684,nM,,8.678,DHT,100.0,rcsb_bulk
1T76,Ki,0.20000000298023224,nM,,9.699,DHT,100.0,rcsb_bulk
1T76,Kd,0.25,nM,,9.602,DHT,100.0,rcsb_bulk
1T76,EC50,5.099999904632568,nM,,8.292,DHT,100.0,rcsb_bulk
1T76,IC50,2.0,nM,,8.699,DHT,100.0,rcsb_bulk
1T76,Ki,10.0,nM,,8.0,DHT,100.0,rcsb_bulk
1T76,IC50,0.6700000166893005,nM,,9.174,DHT,100.0,rcsb_bulk
1T76,EC50,6.0,nM,,8.222,DHT,100.0,rcsb_bulk
1T76,IC50,2.200000047683716,nM,,8.658,DHT,100.0,rcsb_bulk
1T76,EC50,0.14000000059604645,nM,,9.854,DHT,100.0,rcsb_bulk
1T76,Ki,4.699999809265137,nM,,8.328,DHT,100.0,rcsb_bulk
1T76,IC50,3.0999999046325684,nM,,8.509,DHT,100.0,rcsb_bulk
1T76,EC50,5.0,nM,,8.301,DHT,100.0,rcsb_bulk
1T76,EC50,0.10000000149011612,nM,,10.0,DHT,100.0,rcsb_bulk
1T76,Ki,0.6899999976158142,nM,,9.161,DHT,100.0,rcsb_bulk
1T76,IC50,4.0,nM,,8.398,DHT,100.0,rcsb_bulk
1T76,EC50,0.18000000715255737,nM,,9.745,DHT,100.0,rcsb_bulk
1T76,EC50,5.699999809265137,nM,,8.244,DHT,100.0,rcsb_bulk
1T76,EC50,3.9800000190734863,nM,,8.4,DHT,100.0,rcsb_bulk
1T76,EC50,6.199999809265137,nM,,8.208,DHT,100.0,rcsb_bulk
1T76,Ki,0.2800000011920929,nM,,9.553,DHT,100.0,rcsb_bulk
1T76,EC50,3.0,nM,,8.523,DHT,100.0,rcsb_bulk
1T76,Ki,3.0,nM,,8.523,DHT,100.0,rcsb_bulk
1T76,EC50,0.05000000074505806,nM,,10.301,DHT,100.0,rcsb_bulk
1T76,EC50,2.0,nM,,8.699,DHT,100.0,rcsb_bulk
1T76,IC50,0.05000000074505806,nM,,10.301,DHT,100.0,rcsb_bulk
1T76,IC50,1.8200000524520874,nM,,8.74,DHT,100.0,rcsb_bulk
1T76,Ki,2.0,nM,,8.699,DHT,100.0,rcsb_bulk
1T76,IC50,10.0,nM,,8.0,DHT,100.0,rcsb_bulk
1T76,Ki,0.4300000071525574,nM,,9.367,DHT,100.0,rcsb_bulk
1T76,Ki,0.8999999761581421,nM,,9.046,DHT,100.0,rcsb_bulk
1T76,Ki,0.30000001192092896,nM,,9.523,DHT,100.0,rcsb_bulk
1T76,IC50,13.0,nM,,7.886,DHT,100.0,rcsb_bulk
1T76,EC50,0.9700000286102295,nM,,9.013,DHT,100.0,rcsb_bulk
1T76,EC50,2.799999952316284,nM,,8.553,DHT,100.0,rcsb_bulk
1T76,IC50,10.0,nM,,8.0,DHT,100.0,rcsb_bulk
1T76,EC50,20.0,nM,,7.699,DHT,100.0,rcsb_bulk
1T76,Ki,0.27000001072883606,nM,,9.569,DHT,100.0,rcsb_bulk
1T76,IC50,1.0,nM,,9.0,DHT,100.0,rcsb_bulk
1T76,EC50,1.0,nM,,9.0,DHT,100.0,rcsb_bulk
1T76,IC50,18.0,nM,,7.745,DHT,100.0,rcsb_bulk
1T76,IC50,18.5,nM,,7.733,DHT,100.0,rcsb_bulk
1T74,Ki,0.20000000298023224,nM,,9.699,DHT,100.0,rcsb_bulk
1T74,EC50,5.099999904632568,nM,,8.292,DHT,100.0,rcsb_bulk
1T74,IC50,2.0999999046325684,nM,,8.678,DHT,100.0,rcsb_bulk
1T74,Ki,0.28183799982070923,nM,,9.55,DHT,100.0,rcsb_bulk
1T74,Kd,0.25,nM,,9.602,DHT,100.0,rcsb_bulk
1T74,IC50,2.0,nM,,8.699,DHT,100.0,rcsb_bulk
1T74,IC50,2.200000047683716,nM,,8.658,DHT,100.0,rcsb_bulk
1T74,EC50,0.14000000059604645,nM,,9.854,DHT,100.0,rcsb_bulk
1T74,EC50,0.10000000149011612,nM,,10.0,DHT,100.0,rcsb_bulk
1T74,EC50,6.0,nM,,8.222,DHT,100.0,rcsb_bulk
1T74,Ki,10.0,nM,,8.0,DHT,100.0,rcsb_bulk
1T74,IC50,0.6700000166893005,nM,,9.174,DHT,100.0,rcsb_bulk
1T74,IC50,4.0,nM,,8.398,DHT,100.0,rcsb_bulk
1T74,EC50,5.0,nM,,8.301,DHT,100.0,rcsb_bulk
1T74,Ki,0.6899999976158142,nM,,9.161,DHT,100.0,rcsb_bulk
1T74,IC50,3.0999999046325684,nM,,8.509,DHT,100.0,rcsb_bulk
1T74,Ki,4.699999809265137,nM,,8.328,DHT,100.0,rcsb_bulk
1T74,EC50,6.199999809265137,nM,,8.208,DHT,100.0,rcsb_bulk
1T74,EC50,5.699999809265137,nM,,8.244,DHT,100.0,rcsb_bulk
